Company,Company URL,HQ Location,Country,Founded,Estimated Headcount,Known Customers,Strengths,Weaknesses,Discipline,Lifecycle Phase,Workflow Segment,Subsegment,Sector Focus,Category/Function Tags,Operating Model Tags,Differentiation Tags,Manufacturing Type,Industries Served,Investment List,Subcategories,Company Group,Latest Funding Round,Startup Lifecycle Phase,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Estimated Market Value,Financials Notes,Investors and VCs,Market Opportunity,Market Opportunity Justification,Team & Execution,Team & Execution Justification,Technology Differentiation,Technology Differentiation Justification,Funding Efficiency,Funding Efficiency Justification,Growth Metrics,Growth Metrics Justification,Industry Impact,Industry Impact Justification,Competitive Moat,Competitive Moat Justification,Weighted Score,My Contacts,Social,Connected on LinkedIn?
Emmi AI,https://www.emmi.ai,"Vienna, Austria",Austria 🇦🇹,2024,30,"EU universities, STEM research partners, industrial customers discrete manufacturing ","Engineering-oriented AI for design/simulation, high pedagogical value","Early stage, mostly academic pilots, market expansion needed",CAE,Simulate,Simulation Loop,Simulation DeepTech,Engineering,"Cfd,Cae,Semiconductors","Software,B2B,Platform,API-first,cloud-native,SaaS,Subscription,Product-led growth,enterprise,SMB","Engineering Expertise To Tools,Scientific Simulation LMs,AI for R&D,Unified Engineering Data Model,Deep Domain Expertise",Discrete Manufacturing,Academia,"Extreme Analysis (CAE, CFD, FEA, QC)",Surrogate & ML-Accelerated Simulation,Startup Raisers,Series A,Early Stage,2025,$15000000.0,$17000000.0,$1500000.0,$15000000.0,"University pilots, public grants, angels","3VC, Speedinvest, Serena (Serena Capital), PUSH VC, Peter Lasinger, Guillaume Decugis, Andreas Schwarzenbrunner, Christopher Raithle",4.4,Demand for AI-driven simulation and design is surging in higher ed,3.7,"Academic and software founders, strong edtech boards",3.0,Unified design + AI analytics integration unique in Europe,3.5,"Capex efficient, grant plus pilot model, lean",4.2,"Positive EU pilots, user cohort expanding",4.6,Brings real-world AI/app simulation to teaching labs,4.5,"STEM and AI science IP, modest early entry moat",3.85,"Dennis Just (CEO)
Arno Hollosi (CTO)
Mike Mikelsons (COO)*",,checked
Bananaz,https://www.bananaz.ai/,"Tel Aviv, Israel",Israel 🇮🇱,2023,40,"NASA,J&J,HP,large medical device and manufacturing firms","AI copilot,change management integration,PLM/CAD compatibility,drastic error reduction","Early stage,building customer base,PLM incumbents,needs channel partners",Engineering AI copilot,Design,Concept Modeling,"AI-Driven Change Management,Workflow Review","Mechanical Engineering,AI,Design Automation","Design Automation,PLM,AI Copilot,Validation,Design Review","B2B,Platform,enterprise,Product-led growth,Cloud,SaaS","copilot-like design assistance,AI automation",Discrete Manufacturing,"Aerospace & Defense,Industrial Equipment,High Tech & Electronics,Medical Devices",Design Intelligence (CAD),"3D Content, Concepting & Streaming",Startup Raisers,Seed,Seed Stage,2024,$5300000.0,$5300000.0,$2000000.0,$20000000.0,Pre-revenue pipeline growth Young AI‑ops / engineering‑workflow startup; treated as seed‑stage.,"10D
Cardumen Capital",4.2,"Global,AI automates error-prone manual validation and streamlines design reviews",4.7,"Founders have deep AI,product dev,mechanical eng backgrounds",3.9,"Purpose-built AI copilot,integrated data,0% false negative error detection",4.0,"Strong investor support,low burn,efficient go-to-market",3.3,"Active initial pilots,growing pipeline,industry responses",3.9,"Potential to save billions,reduce recall risk by automating validation",3.5,"AI/PLM IP,strong founders,need more partnerships,early product stage",4.06,"Austin Etter*
Or Israel (CEO) *
Ofir Israel*",scheduled with jiga,checked
Fuzzy Logic Robotics,https://flr.io/,"Paris, France",France 🇫🇷,2018,25,"CAIRE Automation, Meliad, Europe Technologies, Visionic, Groupe Siléane",Strong no-code robotics positioning with credible seed backing and named deployments across multiple industrial sectors,"Crowded category and execution depends on deployment, support, and scaling across heterogeneous robot environments",Manufacturing Automation,Production Deployment,Production,No-code robot programming and simulation,Robotics software for flexible automation,"Industrial robotics,no-code,robot programming,simulation","SaaS,Platform,B2B,Industry-specific,enterprise,SMB,Product-led growth,Self-Service,Subscription","No-code workflows,No-code builder for MES,Workflow Automation,Operator-centric UX,Workflow Efficiency,modular toolbox,Fast Deployment,production software",Discrete Manufacturing,"Aerospace & Defense,Nuclear,Metals,Rail","SW+HW=Innovation (Robotics, Drones)",Advanced Additive & Manufacturing Hardware,Startup Raisers,Seed,Seed Stage,2021,$3000000.0,$3000000.0,$0.0,$0.0,"Seed round €2.5M, plus more than €0.6M pre-seed support reported via counsel notes and company communications","42CAP, Karista, Bpifrance support",4.0,Robot programming friction is a major adoption limiter across high-mix manufacturing,3.8,"Credible investors and disclosed deployments, but scale metrics are not publicly detailed",4.1,"No-code plus simulation and runtime tooling designed for operators, not robotics experts",3.5,"Capital raised is meaningful for early stage, still modest vs global robotics scaling needs",3.2,"Signals include team size and named deployments, limited disclosed ARR or install base",3.8,"If it materially reduces programming time, it can expand automation adoption for mid-market",3.6,Moat likely comes from workflow lock-in and deployment playbooks more than pure IP,3.78,Ryan Lober (CEO),,
EverCurrent,https://evercurrent.ai,"Oakland, CA, USA",United States 🇺🇸,2025,5,Pilot hardware design and manufacturing teams,"AI-native platform for hardware team alignment, founder pedigree, investor backing. Product Dev Software, Hardware SaaS","Very early-stage, limited public customer proof, platform in pilot",Engineering AI copilot,Complete Lifecycle,PLM Automation,Hardware Platform of Record,"Hardware Development, PLM/CLM, Team Collaboration","Hardware PLM,Collaboration,Change Management","SaaS,Platform,B2B,enterprise,Product-led growth,Subscription,cloud-native,Enterprise SaaS,Software,Platform Play","AI-native CAD workflow,hardware team focus,AI-first,Founder industrial background,AI platform,Platform-agnostic",Discrete Manufacturing,High Tech & Electronics,"Cognitive Thread (PLM, MBSE, DT)","Specification, Documents, and Knowledge Threads",Startup Raisers,Pre-Seed,Pre-Seed Stage,2025,$1000000.0,$1000000.0,$1000000.0,$10000000.0,"Backed by leading deep-tech VCs, likely in $1-3M seed range","a16z, Speedrun, E14 Fund",3.9,"Hardware complexity surge, tool sprawl, productization of knowledge",4.7,"Former Onshape+Autodesk eng, VC support, tuned for hardware",4.1,"AI-native platform, context-centric decision logging, early first-mover in AIxPLM",4.4,"First-mover, unique in hardware context, not just generic LLM workspace",4.1,Strong funding/branding for early traction,4.5,AI-native in nascent segment,3.7,"If they execute on AI for hardware knowledge, major impact",4.25,Ye Wang (CEO) *,,checked
"LinCode Labs, Inc.",https://lincode.ai,"Detroit, MI, USA",United States 🇺🇸,2017,120,Tier 1 Automotive,AI vision for manufacturing QA,Crowded CV market,Operations,Operations,Visual Inspection AI,Quality Inspection,Vision quality inspection,Defect Detection,"B2B,Industry-specific,Software,enterprise,SMB,Platform,cloud,Edge Computing,Hybrid","Production trained vision models,AI Driven QA,Manufacturing Focus Models,Robust inspection in harsh environments,strong edge performance",Discrete Manufacturing,Automotive,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",AI Vision QA & Inspection Platforms,Startup Raisers,Seed,Seed Stage,2025,$2600000.0,$5400000.0,,$0.0,$40.0M,Accel,4.0,Quality inspection remains a major cost driver,3.9,Execution steady but not breakout,4.0,Focused manufacturing CV stack,4.0,Low total funding suggests efficiency,3.9,Moderate growth signals,4.1,Reduces scrap and rework,3.9,Moat depends on model accuracy and deployment footprint,3.98,Rajesh Iyengar,,
Gravity Sketch,https://www.gravitysketch.com,"London, UK",United Kingdom 🇬🇧,2014,75,"Adidas, Volkswagen, Ford","Intuitive 3D sketching in VR/AR for rapid concept design, large user base (100k+ monthly users) across design and architecture, supports live co-design sessions","Concept/design focus only, not precise CAD, VR gear needed for full experience",AR/VR,Design,Concept Modeling,3D VR/AR conceptual design and collaboration,Immersive Design,"Immersive Design,VR Modeling,Concept Design,Industrial Design,Collaborative CAD","Platform,cloud-native,SaaS,B2B,Subscription,Product-led growth,Software,Cloud SaaS,Platform Play","Native VR modeling,Real-time collaboration,Freeform spatial ideation,Hands-on VR modeling,Real‑time 2D/3D integration and immersive VR,Multi User XR Design,Real-time workflow guidance,Cross Platform XR,Browser Native Viewer",Discrete Manufacturing,"Automotive,High Tech & Electronics,Consumer Goods,Academia",Design Intelligence (CAD),Generative CAD & Geometry,Startup Raisers,Series A,Early Stage,2023,$150000.0,$41800000.0,$20000000.0,$300000000.0,Series A post-money; no large jump in subsequent reports.,"Accel, Kindred Capital, Point Nine, GV (Google Ventures), Will Smith, Tony Fadell, Paul Robson, Rich Kleiman, Kevin Durant, Forward Partners, Innovate UK, European Commission, Russell Buckley, Matthew Bradley",4.6,"Gravity Sketch provides 3D design and collaboration tools for industries such as automotive, footwear, and industrial design, all of which are part of the global product design and visualization software market projected to exceed $10B by 2028, with a CAGR above 10% (Grand View Research, 2024). The company’s focus on immersive, real-time collaboration in VR/AR positions it within the rapidly growing enterprise XR sector, which is expected to surpass $100B globally by 2030 (IDC, 2024).",4.5,"Gravity Sketch’s co-founders, Oluwaseyi Sosanya and Daniela Paredes Fuentes, are Royal College of Art graduates with deep expertise in design and 3D technology. The team includes experienced engineers and designers from leading tech firms. Notable investors include Kindred Capital and Point Nine. Gravity Sketch has secured partnerships with major automotive and footwear brands (e.g., Ford, Adidas) and reports over 100,000 users globally. The company has shipped significant product updates, including multi-user VR collaboration and enterprise features, and has been featured in TechCrunch and Forbes for its rapid growth and industry adoption (as of November 2025).",4.4,"Gravity Sketch offers a proprietary 3D design platform enabling real-time, multi-user collaboration in VR, with unique spatial sketching tools and cross-platform workflows (see Product and Technology pages, 2024–2025). The company highlights its custom-built VR interface and cloud-based collaboration engine, which have been recognized by industry analysts (e.g., VentureBeat, Feb 2024) for streamlining complex 3D design processes, though there is no evidence of granted patents or core algorithmic breakthroughs. Differentiation is primarily in intuitive UX and workflow integration rather than fundamental technology innovation.",4.3,"$44 million raised as of March 2024, including a $13 million Series A in 2021 and a $33 million Series B in 2024; over 100,000 users reported as of 2024, with significant adoption among enterprise clients in automotive and footwear design. Gravity Sketch has demonstrated strong capital efficiency by achieving substantial enterprise traction and user growth with relatively modest funding compared to other 3D design startups, which often require larger rounds to reach similar milestones. This performance is above sector norms, where comparable companies typically raise more to achieve similar user and enterprise engagement levels.",4.5,"Gravity Sketch raised $33M in a Series A round in January 2024 (TechCrunch); the company reports enterprise adoption by major automotive and footwear brands, has announced global product updates and integrations, and is frequently cited in industry press and analyst reports as a leading 3D design collaboration platform (company blog, 2024–2025).",4.0,"Gravity Sketch has demonstrated significant industry impact, particularly in automotive, footwear, and industrial design. Notable customers include Ford, Nissan, Adidas, and Reebok, as highlighted in case studies and press releases. The platform has been featured in industry news (e.g., TechCrunch, VentureBeat) for enabling collaborative 3D design workflows and remote product development. In the past 24 months, Gravity Sketch announced partnerships with Lenovo and Wacom, and was recognized as a finalist in the SXSW Innovation Awards (2024). While adoption is strong among leading design teams, it is not yet a universal sector standard, justifying a high but not perfect score.",4.2,"Gravity Sketch’s official Product and About pages (accessed July 2025) highlight its proprietary 3D design platform enabling real-time, multi-user collaboration in VR, with integrations into major design workflows; however, similar collaborative 3D design tools exist (e.g., Adobe Substance, Autodesk), and no explicit claims of unique IP, patents, or exclusive partnerships are documented in recent public sources.",4.41,"Oluwaseyi Sosanya (CEO) *
Daniela Paredes Fuentes",,checked
Cognite,https://cognite.com,"Bærum, Norway",Norway 🇳🇴,2016,480,"Aker BP, Saudi Aramco, Woodside Energy, TotalEnergies","Strong industrial data platform with broad enterprise adoption in energy and process industries, Mature product suite around industrial data operations",Highly competitive industrial data platform market with large vendors entering the space,Industrial AI,Operations,Industrial Data Platforms,Industrial DataOps,Industrial AI Platforms,"Industrial DataOps,Industrial Data Platform","Platform,enterprise,B2B,cloud-native,Software,Horizontal Platform,Cloud,Enterprise Sales","Contextualized Industrial Data Graph,Industrial AI templates,Operational Data Integration,Industrial Grade Data Orchestration,Strong Integrations,Enterprise Integrations,Unified Data Layer","Discrete Manufacturing,Process Industries","Energy,Oil And Gas,Utilities,Industrial Equipment","Factory Futures (MES, IIOT)",Industrial Data Infrastructure & IIoT Connectivity,Scaleup Expanders,Series B,Growth Stage,2021,$150000000.0,$225000000.0,$120000000.0,$840000000.0,Large scale industrial data platform vendor with strong traction in energy sector,"Accel, TCV, Aker ASA",4.3,Industrial enterprises are rapidly investing in contextualized operational data platforms to support AI and optimization,4.2,Experienced leadership with backing from Aker group and strong enterprise customer relationships,4.0,Cognite Data Fusion platform provides contextualized industrial data graph optimized for operational systems,4.0,Large funding base used efficiently to build enterprise grade industrial platform,4.1,Significant enterprise deployments and growing partner ecosystem indicate strong growth momentum,4.2,Platform widely used for operational digitalization across heavy industry,4.1,Switching costs increase as operational data models and integrations become embedded in enterprise workflows,4.14,"John Lervik (CSO)
Jason Schern (Field CTO)
Geir K. Engdahl (Founder & CTO)
Girish Rishi (CEO) *",,checked
Campfire,https://campfire3d.com/,"San Diego, CA, USA",United States 🇺🇸,2018,25,"Meta, Kazanov, Frog Design, major enterprise design studios, engineering teams","Intuitive 3D/VR collaboration, supports 30+ CAD formats, live annotation + XR, multi-device/cloud, easy onboarding","Enterprise sales cycle, limited large deployments, faces competition from incumbent CAD/PLM & new VR startups, early hardware dependency",Collaboration,Design,Digital Twin Sync,"3D Collaboration, CAD/VR, Engineering Design",CAD/XR Collaboration,"CAD Collaboration,Design Review,XR Visualization,Digital Twin Visualization,Enterprise Collaboration","HW plus SW,Hybrid,cloud-native,Platform,B2B,enterprise,Cloud,Edge deployment","Real‑time 2D/3D integration and immersive VR,Multi-format CAD ingestion,Real-time collaboration,XR-first communication layer,Industrial-scale rendering",Discrete Manufacturing,"Automotive,Aerospace & Defense,Industrial Equipment",Design Intelligence (CAD),"3D Content, Concepting & Streaming",Scaleup Expanders,Series B,Growth Stage,2021,$35000000.0,$35000000.0,$3800000.0,$44000000.0,"Early 3D/VR collaboration product (distinct from Campfire 3D if you track that separately); low disclosed funding, so seed‑band.","Accel, Y Combinator, Foundation Capital, Capital 49",4.7,"Global design/engineering sector, major upgrade for 3D workflows",4.5,"Cross-platform, multi-format, live XR colab, Enterprise-grade security/hybrid cloud, full-format import/export for 3D/CAD",4.6,"Strong hardware/software integration, built-in multi-format CAD, VR/XR advantage",4.2,"Efficient,  raised $35M Series A, lean team, led by serial entrepreneur",3.9,"Strong engagement/growth, industry awards, onboarding/customer feedback",3.9,"Upgrading enterprise 3D collaboration, breaking 2D tool dependency, Solving core bottlenecks for spatial workflows",4.2,"Secure hybrid cloud, full stack, multi-format CAD/IP, onboarding, Hardware+multi-format engine, rich integration",4.38,Jay Wright (CEO),,
Voxel,https://www.voxelai.com/platform,"San Francisco, CA, USA",United States 🇺🇸,2020,90,Fortune 500 logistics and manufacturing firms,Strong real time CV,Relies on camera infrastructure,Industrial AI,Operation/Maintenance,Maintenance / Service,Safety Analytics,Safety AI,"Safety,Operations Optimization","cloud-native,SaaS,B2B,enterprise,Platform,Subscription,Industry-specific,Product-led growth,Software","Real Time AI,Robust inspection in harsh environments,Production trained vision models,Industrial-scale rendering,Real-Time Monitoring,AI automation",Discrete Manufacturing,Logistics,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",AI Service & Knowledge Copilot,Scaleup Expanders,Series B,Growth Stage,2023,$30000000.0,$38000000.0,$7000000.0,$150000000.0,Likely Voxel safety/vision analytics for industrial sites; Series A‑scale funding and industrial deployments imply low‑single‑digit millions ARR.,"Accel,Lux Capital",4.1,Likely Voxel safety/vision analytics for industrial sites; Series A‑scale funding and industrial deployments imply low‑single‑digit millions ARR.,4.0,Capable ML and engineering team,4.2,High performance streaming CV,3.7,Capital efficient compared to peers,4.0,Rapid rollout in logistics,4.0,Improves safety KPIs,4.0, Computer vision tuned for industrial safety is defensible,4.01,"Alex Senemar (Founding CEO)
Anurag Kanungo (CTO)
Harishma Dayanidhi
Troy Carlson",,
Caidio,https://caidio.io,"Espoo, Finland",Finland 🇫🇮,2019,18,"Concrete manufacturers, AEC automation","AI for optimizing concrete/water use, climate/CO2 focus","Low brand, nascent revenue, early product",AEC/BIM,Operation/Maintenance,AEC/BIM,Quality automation in concrete,"Climate-tech, construction materials","climate tech,Materials,Environmental,sustainability","B2B,Industry-specific,enterprise,Software","Manufacturing energy data centers materials,AI automation,ESG Reporting,AI for R&D,Materials Science Foundation,AI-powered data automation",Process Industries,"Materials,General Contractors",Bleeding Edge BIM (AEC/BIM),"Infra, Materials & Sustainability Optimization",Startup Raisers,Seed,Seed Stage,2022,$1500000.0,$1.5,$1400000.0,$20000000.0,"AI quality/control for concrete; small but growing customer base, limited disclosed funding.","ADB Ventures, MiraclePlus, AINS Ventures, HMG Invest, Random Ventures, Peter Vesterbacka, Kustaa Valtonen",3.9,Global concrete: high impact but huge incumbents,4.2,Experienced technical and materials science team,4.4,Unique focus in concrete materials tech,4.2,"Leverages Finnish R&D incentives, efficient",3.6,Gaining initial tractions with pilot customers,3.8,"Potential large CO₂ & efficiency impact, if scaled",3.5,"Niche focus, challenging to displace legacy solutions",4.05,"Pasi Karppinen
",,
